Algoritmo,Otimizador,Fold_ID,Tempo_Treinamento_s,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_Kappa,Cenario
MLP,Genetica,1,17.57,0.60625,0.7474747474747475,0.6607142857142857,0.7014218009478673,0.6138392857142857,0.12983425414364647,PCA
MLP,Genetica,2,18.7,0.65625,0.7821782178217822,0.7053571428571429,0.7417840375586855,0.6473214285714286,0.23184357541899436,PCA
MLP,Genetica,3,1.7,0.675,0.8409090909090909,0.6607142857142857,0.74,0.7250744047619048,0.32291666666666663,PCA
MLP,Genetica,4,1.1,0.60625,0.7578947368421053,0.6428571428571429,0.6956521739130435,0.5915178571428571,0.14864864864864868,PCA
MLP,Genetica,5,2.8,0.63125,0.8192771084337349,0.6071428571428571,0.6974358974358974,0.7126116071428571,0.25126903553299484,PCA
RF,GridSearch,1,0.13,0.6625,0.7589285714285714,0.7589285714285714,0.7589285714285714,0.6728980654761905,0.1964285714285715,PCA
RF,GridSearch,2,0.12,0.625,0.7407407407407407,0.7142857142857143,0.7272727272727273,0.6294642857142857,0.12790697674418605,PCA
RF,GridSearch,3,0.12,0.65625,0.7766990291262136,0.7142857142857143,0.7441860465116279,0.6586681547619049,0.2231638418079096,PCA
RF,GridSearch,4,0.11,0.625,0.75,0.6964285714285714,0.7222222222222222,0.5986793154761904,0.14772727272727282,PCA
RF,GridSearch,5,0.11,0.725,0.8207547169811321,0.7767857142857143,0.7981651376146789,0.7277715773809523,0.367816091954023,PCA
RF,RandomSearch,1,0.12,0.6625,0.7589285714285714,0.7589285714285714,0.7589285714285714,0.6728980654761905,0.1964285714285715,PCA
RF,RandomSearch,2,0.12,0.625,0.7407407407407407,0.7142857142857143,0.7272727272727273,0.6294642857142857,0.12790697674418605,PCA
RF,RandomSearch,3,0.12,0.65625,0.7766990291262136,0.7142857142857143,0.7441860465116279,0.6586681547619049,0.2231638418079096,PCA
RF,RandomSearch,4,0.12,0.625,0.75,0.6964285714285714,0.7222222222222222,0.5986793154761904,0.14772727272727282,PCA
RF,RandomSearch,5,0.12,0.725,0.8207547169811321,0.7767857142857143,0.7981651376146789,0.7277715773809523,0.367816091954023,PCA
RF,Bayesiana,1,0.24,0.65625,0.7567567567567568,0.75,0.7533632286995515,0.6671316964285714,0.18639053254437865,PCA
RF,Bayesiana,2,0.23,0.6375,0.7547169811320755,0.7142857142857143,0.7339449541284404,0.624906994047619,0.16666666666666663,PCA
RF,Bayesiana,3,0.24,0.64375,0.7722772277227723,0.6964285714285714,0.7323943661971831,0.6595982142857143,0.2039106145251396,PCA
RF,Bayesiana,4,0.23,0.60625,0.7333333333333333,0.6875,0.7096774193548387,0.5997023809523809,0.09999999999999998,PCA
RF,Bayesiana,5,0.22,0.73125,0.8285714285714286,0.7767857142857143,0.8018433179723502,0.7306547619047619,0.3857142857142857,PCA
RF,Genetica,1,0.13,0.65625,0.7567567567567568,0.75,0.7533632286995515,0.6671316964285714,0.18639053254437865,PCA
RF,Genetica,2,0.14,0.6375,0.7547169811320755,0.7142857142857143,0.7339449541284404,0.624906994047619,0.16666666666666663,PCA
RF,Genetica,3,0.14,0.64375,0.7722772277227723,0.6964285714285714,0.7323943661971831,0.6595982142857143,0.2039106145251396,PCA
RF,Genetica,4,0.13,0.60625,0.7333333333333333,0.6875,0.7096774193548387,0.5997023809523809,0.09999999999999998,PCA
RF,Genetica,5,0.14,0.73125,0.8285714285714286,0.7767857142857143,0.8018433179723502,0.7306547619047619,0.3857142857142857,PCA
KNN,GridSearch,1,0.0,0.625,0.7549019607843137,0.6875,0.719626168224299,0.6340215773809524,0.1573033707865169,PCA
KNN,GridSearch,2,0.0,0.6,0.7448979591836735,0.6517857142857143,0.6952380952380952,0.6004464285714286,0.1208791208791209,PCA
KNN,GridSearch,3,0.0,0.6125,0.7659574468085106,0.6428571428571429,0.6990291262135923,0.5837053571428571,0.16666666666666674,PCA
KNN,GridSearch,4,0.0,0.58125,0.7419354838709677,0.6160714285714286,0.6731707317073171,0.5807291666666666,0.10427807486631013,PCA
KNN,GridSearch,5,0.0,0.63125,0.7912087912087912,0.6428571428571429,0.7093596059113301,0.6650855654761905,0.21957671957671954,PCA
KNN,RandomSearch,1,0.0,0.625,0.7549019607843137,0.6875,0.719626168224299,0.6340215773809524,0.1573033707865169,PCA
KNN,RandomSearch,2,0.0,0.6,0.7448979591836735,0.6517857142857143,0.6952380952380952,0.6004464285714286,0.1208791208791209,PCA
KNN,RandomSearch,3,0.0,0.6125,0.7659574468085106,0.6428571428571429,0.6990291262135923,0.5837053571428571,0.16666666666666674,PCA
KNN,RandomSearch,4,0.0,0.58125,0.7419354838709677,0.6160714285714286,0.6731707317073171,0.5807291666666666,0.10427807486631013,PCA
KNN,RandomSearch,5,0.0,0.63125,0.7912087912087912,0.6428571428571429,0.7093596059113301,0.6650855654761905,0.21957671957671954,PCA
KNN,Bayesiana,1,0.0,0.625,0.7549019607843137,0.6875,0.719626168224299,0.6340215773809524,0.1573033707865169,PCA
KNN,Bayesiana,2,0.0,0.6,0.7448979591836735,0.6517857142857143,0.6952380952380952,0.6004464285714286,0.1208791208791209,PCA
KNN,Bayesiana,3,0.0,0.6125,0.7659574468085106,0.6428571428571429,0.6990291262135923,0.5837053571428571,0.16666666666666674,PCA
KNN,Bayesiana,4,0.0,0.58125,0.7419354838709677,0.6160714285714286,0.6731707317073171,0.5807291666666666,0.10427807486631013,PCA
KNN,Bayesiana,5,0.0,0.63125,0.7912087912087912,0.6428571428571429,0.7093596059113301,0.6650855654761905,0.21957671957671954,PCA
KNN,Genetica,1,0.0,0.625,0.7549019607843137,0.6875,0.719626168224299,0.6340215773809524,0.1573033707865169,PCA
KNN,Genetica,2,0.0,0.6,0.7448979591836735,0.6517857142857143,0.6952380952380952,0.6004464285714286,0.1208791208791209,PCA
KNN,Genetica,3,0.0,0.6125,0.7659574468085106,0.6428571428571429,0.6990291262135923,0.5837053571428571,0.16666666666666674,PCA
KNN,Genetica,4,0.0,0.58125,0.7419354838709677,0.6160714285714286,0.6731707317073171,0.5807291666666666,0.10427807486631013,PCA
KNN,Genetica,5,0.0,0.63125,0.7912087912087912,0.6428571428571429,0.7093596059113301,0.6650855654761905,0.21957671957671954,PCA
SVM,GridSearch,1,0.06,0.66875,0.8105263157894737,0.6875,0.7439613526570048,0.6988467261904762,0.28378378378378377,PCA
SVM,GridSearch,2,0.06,0.65,0.8255813953488372,0.6339285714285714,0.7171717171717171,0.7090773809523809,0.2783505154639174,PCA
SVM,GridSearch,3,0.09,0.6625,0.8536585365853658,0.625,0.7216494845360825,0.7874813988095238,0.31818181818181823,PCA
SVM,GridSearch,4,0.11,0.6125,0.7659574468085106,0.6428571428571429,0.6990291262135923,0.5824032738095238,0.16666666666666674,PCA
SVM,GridSearch,5,0.1,0.64375,0.8313253012048193,0.6160714285714286,0.7076923076923077,0.7134486607142857,0.2766497461928934,PCA
SVM,RandomSearch,1,0.11,0.675,0.8061224489795918,0.7053571428571429,0.7523809523809524,0.7020089285714286,0.2857142857142857,PCA
SVM,RandomSearch,2,0.12,0.6625,0.8295454545454546,0.6517857142857143,0.73,0.7036830357142857,0.296875,PCA
SVM,RandomSearch,3,0.13,0.65625,0.8433734939759037,0.625,0.717948717948718,0.7839471726190477,0.30203045685279184,PCA
SVM,RandomSearch,4,0.11,0.61875,0.7684210526315789,0.6517857142857143,0.7053140096618358,0.5838913690476191,0.17567567567567566,PCA
SVM,RandomSearch,5,0.12,0.6375,0.8292682926829268,0.6071428571428571,0.7010309278350515,0.7074032738095238,0.26767676767676774,PCA
SVM,Bayesiana,1,0.18,0.60625,0.7634408602150538,0.6339285714285714,0.6926829268292682,0.6490885416666666,0.15775401069518713,PCA
SVM,Bayesiana,2,0.24,0.575,0.782051282051282,0.5446428571428571,0.6421052631578947,0.6622953869047619,0.15841584158415833,PCA
SVM,Bayesiana,3,0.24,0.65625,0.8433734939759037,0.625,0.717948717948718,0.7202380952380952,0.30203045685279184,PCA
SVM,Bayesiana,4,0.24,0.5875,0.7738095238095238,0.5803571428571429,0.6632653061224489,0.6210007440476191,0.15816326530612246,PCA
SVM,Bayesiana,5,0.25,0.60625,0.8450704225352113,0.5357142857142857,0.6557377049180327,0.6889880952380952,0.24641148325358841,PCA
SVM,Genetica,1,0.06,0.66875,0.8105263157894737,0.6875,0.7439613526570048,0.6988467261904762,0.28378378378378377,PCA
SVM,Genetica,2,0.06,0.65,0.8255813953488372,0.6339285714285714,0.7171717171717171,0.7090773809523809,0.2783505154639174,PCA
SVM,Genetica,3,0.06,0.6625,0.8536585365853658,0.625,0.7216494845360825,0.7874813988095238,0.31818181818181823,PCA
SVM,Genetica,4,0.06,0.6125,0.7659574468085106,0.6428571428571429,0.6990291262135923,0.5824032738095238,0.16666666666666674,PCA
